Word,Definition
A,vowel Pronounced as a in “art” and “father”; a = ā perceptibly shortened. The sound of a in “man” is unknown in Maori. '
Ā,n. 1.Collar-bone. Usually joined with kaki. Te a o toku kaki.2.Perch for snaring kaka a particular form of mutu-kaka.'
Ā,t. 1.Drive urge compel. Ka aia haeretia e te hau nunui (J. iii 99). Ka rumaki tonu te pane ki te hoe i te ainga hoki a te wehi (T. 144). Note: Two nouns are derived from this verb: āinga ānga driving force thing driven etc. I te wa e rere ai te kano o te perehia i te āinga a te hau ki te moana (W. iii 35). Kitea he anga na te haku (P.). 2.Collect. Ka whakahaua e Whatiuaroa tana ope; kei te a i te rakau hei wahie.'
Ā,Plural of the definitive particle tā indicating possession. nga … a the … of.  It is used before the dual and plural personal pronouns names of persons or places local nouns or before common nouns preceded by a definitive (F.L. § 18). Note: For the difference between ā and ō see the prepositions a and o. A raua nei tama ko Hau-maringi ko Haumarotoroto (M. xxxiv)   Sometimes used elliptically. Ka kai ratou i reira pau ana ā nga hoa katikati tonu a Tama (T. 78) see tā (iii)'
Ā,conj. Denoting extension of space or lapse of time; often very much prolonged in speech. 1.As far as. Ka rere mai a Te Arawa ā waho i te moana (T. 71). Ka ra Hakomiti te ara a Paritangi (T. 78).2.Until. Takoto nei a ao noa te ra (T. 90).3.And and then; only connecting successive actions or events. Hoe ana mai. a ka u ki Mokau (T. 123). Moe tonu a ka ao te ra ka hoe (T. 196).'
Ā,ahacolloquial pron. What? He a tena e Mati?'
Ā,aecolloquial ad. Yes. A hoki ra just so.'
A,particle Used  1.Before names of persons the pronouns wai and mea and names of canoes months etc.—(a) When they stand as subject in a sentence. Kei te ngaki kumara a Te Kehu (T. 85). E tawharau ana mai a Te Arawa (T. 81).   (b) When they follow any of the prepositions i ki hei kei. Ka korero atu a Kupe ki a Turi (T. 110). Kua timata mai ano i mua atu i a Whakatauihu i a Tawhaki i a Tuhuruhuru (T. 63).   (c) In explanatory clauses. Kua tupu tana tamaiti a Rata (T. 54).2.Before personal pronouns except ahau (though au follows this rule) — (a) When they follow any of the prepositions i ki hei kei. Ka mea ratou ki a koe ra (T. 189).   (b) When they are repeated by way of explanation but not ordinarily when they stand as subject in a sentence. The use of the nominal prefix a before ia standing as subject of a verb is sometimes found.3.Before names of places and local nouns (F.L. § 8)when they—(a) Stand as subject in a sentence. Ka taunahatia e Naki a Motiti (T. 75). E puare katoa ana a roto (T. 13).   (b) Are repeated by way of explanation.4.Occasionally before common nouns in explanatory clauses. Rokohanga atu e takoto ana te kai nei a te kukupa (T. 146).5.Sometimes especially in animated narrative merely euphonically. Ma tona kaha a ia ano e taruturutu (T. 159). Na me karanga a koe ki a au (T. 168).'
A,prep. 1.Of belonging to; used in speaking of transitive actions including works accomplished or in progress movable property instruments food husband wife slaves etc. ( see o prep. and F.L. § 22). Ka mutu nga mahi a nga tama a Makeatutara (T. 30). Nga kupu poroporoaki a Hou (T. 82). Te umu a Kuiwai (T. 83). Ka haere mai nga matua o te wahine a Paoa (T. 185).2.At at the time of; of future time. A tahira te eke ai ki uta (T. 142). A whea ara ai te marama? (T. 54).3.After the manner of. He mea mohio a ngakau tangata (T. 84). Rere a manu ki te hui matangohi (M. 117). Ka noho a pahi te rau ma whitu i reira (T. 154).'
A,ad. 1.Well well then. A tena kei whea au tuaahu? (T. 122). A hei konei whakarongo ake ai (T. 10).2.Sometimes simply to attract attention. A kāti te turituri (T. 65).'
A,kain poetry particle A tuhi to toto ka rapa i te rangi. (M. 83) '
Ae,a. Calm. Takoto noa tera te moana he ae noa iho.'
Ae,1.ad. Assenting to an affirmation or affirmative question.Yes. “Ko koe tonu ranei?” Ka mea atu a Whakatau “Ae ko ahau” (T. 62). Ka mea atu te matua ki a ia “Ae e pai ana” (T. 25).2.In answer to a negative question it affirms the negative and must be rendered by no. “Kahore i homai he kai mau?” “Ae.” (“Did not he give you any food?” “No.”) This use is almost obsolete.3.v.i. Assent agree. Ae ana mai ona whanaunga kia patua te ra (T. 25). whakaaev.i. Say yes consent. Ka whakaae to raua whaea (T. 46).'
Aea,It were better. Aea e tama kia noho mai koe (M. 323). Aea ranei kia tu tahi taua (M. 23).  Aea ano would that. Aea ano au he manu e rere. tau atu ko tawhiti (M. 35). '
Aeaeā,a. Panting. Tah. aeae. whakaaeaea 1.v.i. Pant for breath. Ka kake i te pikitanga ka whakaaeaea.2.v.t. Utter disconnectedly as though in want of breath. Kaua e whakaaeaeatia to korero engari honoa tonutia.'
Aeha,int. Denoting contempt wonder vexation etc. '
Aewa,1.n. Giddiness.2.a. Sickly unhealthy.3.v.i. Wander go round about. Kua riro ia ki te aewa i waho (W. i 91).'
Aha,1.pron. What? of things only. He aha te korero? (T. 90). He aha why? for what purpose? He aha tau e kata? (T. 199). He aha tau i haere mai ai koe ki konei? (T. 169).   2.Who? in asking a person''s second name. Hone aha?3.Of what sort? of what use? etc. He toa aha to toa? (T. 60). Hei matua tane aha hei matua wahine aha? (T. 14). He nanakia aha to te kiore nanakia? (T. 199).4.n. Anything whatever anything at all. Tē ai he aha hei whakaoho mai (There was nothing at all to disturb them) (T. 117). I nga aha i nga aha noa iho a te Maori (All sorts of Maori matters) (T. 30).5.v.t. Do what to? I ahatia e ratou tana tamaiti? (What did they do to his child?)6.v.i. Do what? Me aha ra kia kata ai a Kae? (T. 37).7.Do anything whatever. Tē ngaueue tē aha (T. 6). Kihai hoki i aha atu te nuinga (T. 183). ahatangan. Doing what. He ahatanga or ko tena te ahatanga what of that? Hei ahatanga ma Tu? (What did that matter for Tu?) (T. 6).  '
Aha,ahaahan. A sawlike weapon made of sharks'' teeth fixed laterally to a wooden handle. Whatoro te ringa ki te ahaaha hei tapahi kua motu. Aha mango teeth of tuatini shark used as a knife.'
